Designator,Mid X,Mid Y,Rotation,Layer
D39,228.649936,-153.99284,90.0,bottom
D4,16.668734,-173.042872,90.0,bottom
D40,226.186984,-173.042872,90.0,bottom
D41,233.362448,-115.892872,90.0,bottom
D42,238.074944,-134.942856,90.0,bottom
D43,250.031234,-173.042872,90.0,bottom
D44,252.412448,-115.892872,90.0,bottom
D45,269.081024,-134.942856,90.0,bottom
D46,276.224984,-173.042872,90.0,bottom
D47,276.224768,-115.892872,90.0,bottom
D48,309.81224,-114.299904,180.0,bottom
D49,267.96,-157.98,90.0,bottom
D5,42.862464,-115.892872,90.0,bottom
D50,336.946592,-115.892872,90.0,bottom
D51,336.946592,-134.942856,90.0,bottom
D52,336.946592,-153.99284,90.0,bottom
D53,336.946592,-173.042872,90.0,bottom
D54,339.32784,-115.892872,90.0,bottom
D55,339.32784,-134.942856,90.0,bottom
D56,339.32784,-153.99284,90.0,bottom
D57,339.32784,-173.042872,90.0,bottom
D58,357.187184,-115.892872,90.0,bottom
D59,357.187184,-134.942856,90.0,bottom
D6,47.62496,-134.942856,90.0,bottom
D60,357.237184,-153.99284,90.0,bottom
D61,357.187484,-173.042872,90.0,bottom
D62,376.237184,-115.892872,90.0,bottom
D63,376.237184,-134.942856,90.0,bottom
D64,376.237184,-153.99284,90.0,bottom
D65,376.237484,-173.042872,90.0,bottom
D7,58.173936,-153.99284,90.0,bottom
D8,40.481234,-173.042872,90.0,bottom
D9,61.912448,-115.892872,90.0,bottom
J2,309.81224,-170.129904,0.0,bottom
J7,312.94,-128.547904,90.0,bottom
LED1,317.44824,-155.857904,90.0,bottom
Q1,303.81824,-128.317904,90.0,bottom
R1,305.96424,-141.792904,270.0,bottom
R10,246.996268,-143.22033,225.0,bottom
R11,249.188299,-143.22033,225.0,bottom
R12,251.38033,-143.22033,225.0,bottom
R13,253.85,-142.27,270.0,bottom
R14,255.45,-142.27,270.0,bottom
R15,257.05,-142.27,270.0,bottom
R16,257.4,-155.546904,90.0,bottom
R17,255.8,-155.546904,90.0,bottom
R18,254.2,-155.546904,90.0,bottom
R19,252.6,-155.546904,90.0,bottom
R2,304.94824,-141.790304,270.0,bottom
R20,251.0,-155.546904,90.0,bottom
R21,249.4,-155.546904,90.0,bottom
R22,247.8,-155.546904,90.0,bottom
R23,246.2,-155.546904,90.0,bottom
R24,244.6,-155.546904,90.0,bottom
R25,308.09,-154.68,90.0,bottom
R26,317.45324,-135.631904,0.0,bottom
R27,317.45324,-136.631904,180.0,bottom
R28,258.2,-152.88,225.0,bottom
R3,304.63824,-155.907904,90.0,bottom
R6,316.93824,-153.617904,180.0,bottom
R7,240.420175,-143.22033,225.0,bottom
R8,242.612206,-143.22033,225.0,bottom
R9,244.804237,-143.22033,225.0,bottom
RGB1,28.574976,-119.360056,0.0,bottom
RGB10,76.199936,-138.41004,0.0,bottom
RGB11,85.724928,-157.460024,0.0,bottom
RGB12,73.818688,-176.510008,0.0,bottom
RGB13,90.487424,-119.360056,0.0,bottom
RGB14,95.24992,-138.41004,0.0,bottom
RGB15,104.774912,-157.460024,0.0,bottom
RGB16,114.299904,-176.510008,0.0,bottom
RGB17,123.824896,-157.460024,0.0,bottom
RGB18,114.3,-138.41004,0.0,bottom
RGB19,109.537408,-119.360056,0.0,bottom
RGB2,30.956224,-138.41004,0.0,bottom
RGB20,128.587392,-119.360056,0.0,bottom
RGB21,133.349888,-138.41004,0.0,bottom
RGB22,142.87488,-157.460024,0.0,bottom
RGB23,147.637376,-119.360056,0.0,bottom
RGB24,152.399872,-138.41004,0.0,bottom
RGB25,161.924864,-157.460024,0.0,bottom
RGB26,171.449856,-176.510008,0.0,bottom
RGB27,180.974848,-157.460024,0.0,bottom
RGB28,171.449856,-138.41004,0.0,bottom
RGB29,166.68736,-119.360056,0.0,bottom
RGB3,35.71872,-157.460024,0.0,bottom
RGB30,185.737344,-119.360056,0.0,bottom
RGB31,190.49984,-138.41004,0.0,bottom
RGB32,200.024832,-157.460024,0.0,bottom
RGB33,204.787328,-119.360056,0.0,bottom
RGB34,209.549824,-138.41004,0.0,bottom
RGB35,219.074816,-157.460024,0.0,bottom
RGB36,211.931072,-176.510008,0.0,bottom
RGB37,235.6945,-176.510008,0.0,bottom
RGB38,238.1248,-157.460024,0.0,bottom
RGB39,228.599808,-138.41004,0.0,bottom
RGB4,26.193728,-176.510008,0.0,bottom
RGB40,223.837312,-119.360056,0.0,bottom
RGB41,242.887296,-119.360056,0.0,bottom
RGB42,247.649792,-138.41004,0.0,bottom
RGB43,261.93728,-119.360056,0.0,bottom
RGB44,259.53875,-176.510008,0.0,bottom
RGB45,285.74976,-176.510008,0.0,bottom
RGB46,273.805556,-157.460024,0.0,bottom
RGB47,278.606016,-138.41004,0.0,bottom
RGB48,285.74976,-119.360056,0.0,bottom
RGB49,328.612224,-119.360056,0.0,bottom
RGB5,50.006208,-176.510008,0.0,bottom
RGB50,328.612224,-138.41004,0.0,bottom
